OXFORD RADCLIFFE HOSPITALS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freedom of Information Request:FOI/1090;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.    The number of patients admitted to Critical Care Unit (CCU) with respiratory arrest, by month, from November 1999 to the present. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1999;;2000;;;;;;;;;;;;2001;;;;;;;;;;;;2002;;;;;;;;;;;;2003;;;;;;;;;;;;2004;;;;;;;;;;;;2005;;;;;;;;;;;;2006;;;;;;;;;;;;2007;;;;;;;;;;;;2008;;;;;;;;;;;;2009;;;;;;;;;;;;2010;;;;;;;;;;;;2011;;;;;Grand Total
;;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Jan;Feb;Mar;Apr;May;
Total Nº in CCU;;0;0;1;1;0;0;0;1;1;0;1;4;1;0;2;0;0;0;1;1;0;1;0;2;3;1;1;0;0;0;0;0;1;0;0;0;2;1;0;1;1;0;3;0;0;1;0;0;0;5;2;3;2;0;0;1;1;1;0;1;0;1;1;1;0;2;0;0;0;1;0;0;1;0;0;3;2;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;3;0;0;0;0;1;2;2;1;1;0;0;1;2;0;1;1;1;2;2;0;1;0;0;1;0;0;0;1;1;1;2;2;1;0;0;0;96
Total Nº in CCU ORH ex Horton Hospital (HH);;0;0;1;1;0;0;0;0;0;0;1;4;1;0;2;0;0;0;1;1;0;1;0;1;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;1;0;1;0;1;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;2;1;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;2;2;1;0;0;0;55
Total Nº in CCU HH;;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;2;0;0;1;0;0;0;4;2;3;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;41
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.    The number of patients admitted to the Horton General Hospital Critical Care Unit with respiratory arrest from the emergency department, by month, from November 1999 to the present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Nº in CCU;;0;0;1;0;0;0;0;1;1;0;1;3;0;0;1;0;0;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;2;1;0;1;0;0;1;0;0;1;0;0;0;5;2;2;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;1;2;1;0;1;0;0;1;2;0;1;0;1;2;2;0;1;0;0;1;0;0;0;1;1;1;2;2;1;0;0;0;71
Total Nº in CCU ORH ex HH;;0;0;1;0;0;0;0;0;0;0;1;3;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;2;2;1;0;0;0;36
Total Nº in CCU HH;;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;0;4;2;2;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;35
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.    The number of patients admitted to the Horton General Hospital Critical Care Unit with cardio-respiratory arrest, by month, from November 1999 to the present. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Nº in CCU;;4;8;7;5;7;2;12;7;8;12;6;6;4;10;6;3;9;6;5;3;6;4;5;2;7;8;4;7;6;4;3;2;6;7;10;2;8;9;5;6;7;9;3;7;10;7;4;9;1;2;6;5;6;2;5;4;5;5;7;5;3;7;8;5;4;5;5;8;2;7;8;5;6;6;6;2;6;5;4;5;6;5;8;9;5;5;2;8;6;5;7;6;6;3;7;6;5;7;2;6;6;9;4;4;8;3;7;7;12;5;11;6;9;5;11;7;6;3;9;10;6;7;10;7;6;3;9;7;6;6;4;5;11;9;8;12;13;4;5;851
Total Nº in CCU ORH ex HH;;3;7;6;5;6;2;9;7;7;11;5;6;3;9;6;3;8;4;5;3;5;4;4;1;6;7;4;5;5;2;1;2;6;4;8;2;5;7;5;4;6;8;3;6;9;4;3;7;1;2;5;2;4;1;4;4;4;4;6;5;2;6;5;5;3;3;4;8;1;4;6;4;6;5;4;1;6;3;4;3;4;4;4;8;3;4;2;7;5;4;5;6;6;3;7;5;4;6;2;4;6;7;3;4;7;2;5;7;9;5;9;5;6;5;9;6;4;2;9;8;6;7;9;7;5;3;8;6;5;5;3;5;9;9;7;11;10;3;4;706
Total Nº in CCU HH;;1;1;1;0;1;0;3;0;1;1;1;0;1;1;0;0;1;2;0;0;1;0;1;1;1;1;0;2;1;2;2;0;0;3;2;0;3;2;0;2;1;1;0;1;1;3;1;2;0;0;1;3;2;1;1;0;1;1;1;0;1;1;3;0;1;2;1;0;1;3;2;1;0;1;2;1;0;2;0;2;2;1;4;1;2;1;0;1;1;1;2;0;0;0;0;1;1;1;0;2;0;2;1;0;1;1;2;0;3;0;2;1;3;0;2;1;2;1;0;2;0;0;1;0;1;0;1;1;1;1;1;0;2;0;1;1;3;1;1;145
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4. The number of patients admitted to the Horton General Hospital Critical Care Unit with cardio-respiratory arrest from the emergency department, by month, from November 1999 to the present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Nº in CCU;;3;5;2;3;2;0;8;3;2;5;2;2;1;4;3;0;7;4;1;1;3;1;0;2;2;3;2;2;3;3;2;2;0;5;7;1;5;6;1;2;4;4;1;1;3;5;2;5;0;0;5;5;3;1;2;1;4;4;4;2;3;2;4;1;2;1;2;4;1;4;3;1;2;3;2;1;3;2;2;2;1;4;6;7;5;4;1;2;3;4;6;4;6;1;4;3;3;3;0;3;3;4;1;2;6;2;6;4;9;2;6;2;4;4;6;6;3;2;2;5;2;1;7;5;5;0;7;4;4;4;0;3;6;4;4;9;6;4;2;437
Total Nº in CCU ORH ex HH;;2;4;1;3;1;0;5;3;2;4;1;2;0;3;3;0;6;2;1;1;2;1;0;1;1;3;2;1;2;1;0;2;0;2;5;1;3;4;1;0;3;3;1;1;2;2;1;3;0;0;4;2;2;0;1;1;3;3;3;2;2;1;2;1;1;0;1;4;0;3;1;1;2;2;0;0;3;2;2;0;1;3;3;6;3;3;1;2;2;3;4;4;6;1;4;2;2;2;0;1;3;3;1;2;5;1;4;4;6;2;4;1;2;4;4;5;1;1;2;4;2;1;6;5;4;0;6;3;3;3;0;3;4;4;4;8;3;3;2;317
Total Nº in CCU HH;;1;1;1;0;1;0;3;0;0;1;1;0;1;1;0;0;1;2;0;0;1;0;0;1;1;0;0;1;1;2;2;0;0;3;2;0;2;2;0;2;1;1;0;0;1;3;1;2;0;0;1;3;1;1;1;0;1;1;1;0;1;1;2;0;1;1;1;0;1;1;2;0;0;1;2;1;0;0;0;2;0;1;3;1;2;1;0;0;1;1;2;0;0;0;0;1;1;1;0;2;0;1;0;0;1;1;2;0;3;0;2;1;2;0;2;1;2;1;0;1;0;0;1;0;1;0;1;1;1;1;0;0;2;0;0;1;3;1;0;120
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5.    The number of patients admitted to the Horton General Hospital Critical Care Unit with hypoglycaemia, by month, from November 1999 to the present. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Nº in CCU;;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;2;0;0;2;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;2;0;0;0;1;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;2;2;1;2;0;0;0;1;3;0;0;0;1;0;0;1;1;2;0;4;1;1;0;5;2;1;0;0;4;0;73
Total Nº in CCU ORH ex HH;;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;1;2;0;0;0;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;2;1;1;1;0;0;0;1;3;0;0;0;1;0;0;1;1;2;0;3;1;1;0;5;1;1;0;0;3;0;58
Total Nº in CCU HH;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;15
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6.    The number of patients admitted to the Horton General Hospital Critical Care Unit with hypoglycaemia from the emergency department, by month, from November 1999 to the present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Nº in CCU;;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;2;1;1;0;3;0;1;0;0;2;0;39
Total Nº in CCU ORH ex HH;;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;1;1;0;3;0;1;0;0;2;0;27
Total Nº in CCU HH;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7.    The number of patients admitted to Horton General Hospital emergency department, by month, from November 1999 to the present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inpatient episodes admitted from A&E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Nº from ED;;1189;1378;1185;1139;1215;1187;1291;1239;1356;1346;1243;1351;1329;1363;1433;1276;1377;1340;1409;1398;1412;1384;1451;1494;1453;1597;1534;1409;1503;1371;1413;1371;1489;1328;1329;1408;1269;1442;1401;1397;1555;1463;1467;1562;1506;1530;1624;1728;1714;1759;1687;1726;1997;1949;2178;2048;2099;1996;2112;2093;1961;1974;2118;1966;2099;2110;2204;2094;2194;2039;1949;2261;1961;2207;2111;1947;2117;1940;1976;2010;2159;2020;2034;2041;2085;2192;2252;2061;2306;2184;2246;2226;2271;2200;2175;2332;2264;2328;2200;2141;2344;2289;2353;2327;2353;2272;2339;2425;2402;2530;2378;2231;2542;2373;2555;2402;2322;2273;2334;2541;2436;2528;2456;2234;2503;2323;2474;2371;2474;2393;2257;2531;2388;2519;2260;2098;2437;2368;1823;267705
Total Nº from ED ORH ex HH;;776;935;807;754;827;781;882;814;903;935;836;934;907;937;1006;866;927;891;971;952;952;947;976;1030;986;1098;1075;948;1015;885;898;914;931;809;820;889;725;910;892;865;957;968;924;1007;953;998;1045;1095;1092;1115;1063;1173;1369;1278;1465;1364;1375;1341;1398;1429;1372;1407;1501;1424;1534;1518;1569;1527;1596;1525;1398;1648;1462;1670;1578;1457;1550;1402;1470;1481;1611;1456;1512;1504;1526;1613;1692;1568;1736;1665;1734;1687;1715;1668;1636;1739;1713;1769;1720;1667;1821;1779;1850;1829;1821;1742;1789;1864;1852;1893;1775;1711;1918;1777;1899;1844;1756;1732;1755;1925;1899;1919;1884;1719;1932;1783;1865;1788;1899;1792;1704;1952;1784;1914;1719;1641;1877;1854;1450;193342
Total Nº from ED HH;;413;443;378;385;388;406;409;425;453;411;407;417;422;426;427;410;450;449;438;446;460;437;475;464;467;499;459;461;488;486;515;457;558;519;509;519;544;532;509;532;598;495;543;555;553;532;579;633;622;644;624;553;628;671;713;684;724;655;714;664;589;567;617;542;565;592;635;567;598;514;551;613;499;537;533;490;567;538;506;529;548;564;522;537;559;579;560;493;570;519;512;539;556;532;539;593;551;559;480;474;523;510;503;498;532;530;550;561;550;637;603;520;624;596;656;558;566;541;579;616;537;609;572;515;571;540;609;583;575;601;553;579;604;605;541;457;560;514;373;74363